t,Y,X,C
0,0.0,0.0,0.0
1,-0.5162800387675692,-0.9932782882391863,1.349591265369501
2,-1.554250565088282,2.357903185328183,1.0025813048491468
3,1.3296330493723196,1.836945167057773,2.0081067442275615
4,0.5425554350430498,1.7922135836546575,1.367070059529808
5,0.5150781501822683,1.1971834350242918,-0.1983706857791705
6,1.2135153119327946,0.24077810505089514,0.7414275253479293
7,-0.30247474195533164,-0.44253151770378163,-0.19453286360589106
8,-0.19307074386362946,-0.03749275917398853,0.29697575857711866
9,0.44258377692459294,-0.632778526452278,1.3483171347935978
10,-0.13735696151353294,1.7269199433615599,1.5430697145015757
11,0.9453156404204787,1.6587983876252408,1.2743474276866822
12,2.572660476366268,0.7491896306169965,-0.28999593594433737
13,0.47935339609691097,0.440415866674965,-0.21219649065926693
14,-0.16249343873157263,-0.6962451030353729,-0.8716855899022878
15,-0.5862956322926045,-1.4253874689842334,0.8179814117662773
16,-2.2570248724406827,0.6981448826906074,1.0562405463807254
17,-1.3391002442466946,-1.4987935445581344,1.494705313207355
18,-1.5196177610547998,-0.34502178083368823,2.0044194378413036
19,-0.16696940452399467,1.8872721862594766,1.6290136759985347
20,2.0368879863118523,1.0659356124592596,0.5389054726029662
21,-0.15005943062759175,0.5418380788087068,0.2384230965284203
22,0.3487969328629078,0.9342734172436071,0.05549941746728343
23,0.28378805012356834,0.9614693261961806,-0.6410834705597652
24,0.840614626101319,-0.18176745488424068,-0.25219898427500154
25,-0.18209651106214558,-1.3808306422223788,-0.9679706232050967
26,-1.9890918334779861,0.8126905611814802,-0.45962522982090914
27,-0.18829006811681392,-0.12677052146352774,-0.5483014433838922
28,-1.2498355029879025,-1.3483463717667719,-0.33974161510677137
29,-2.2079711215727458,-1.1569658510036755,2.1929005457685453
30,-1.1968082671134288,0.33406396890219037,0.8932651005380026
31,0.13635656242545724,2.1650290213639938,1.4077494055524495
32,2.54483010033632,0.567634732050914,-0.32488865732147876
33,-0.27937075951583346,0.13742055128681607,0.2855247412139539
34,-0.8687991290030025,-0.33233326213891745,1.0262647058766734
35,-0.991615619929072,0.8410917290494222,0.8816624967857187
36,-0.45041102167951547,0.7314555135103317,0.4660853553918993
37,-0.4383661201290334,-0.379864168479639,0.8024605357952981
38,-0.12768551536347716,0.19031536283549655,1.5692934340107032
39,-0.04668371363272228,-1.504424800892494,3.4116097492445574
40,-2.09348665506449,2.601587479528271,0.8721801127924917
41,0.4414496068103444,1.124753927257513,0.90702248725906
42,0.47467196019241653,0.7658873313476671,1.852595445614007
43,-0.9752661192344159,1.7077070437947386,1.8948450562316086
44,1.2201099715095856,0.7842320907399141,2.6698784011666845
45,0.2099907281444975,0.6095906319385177,2.877378485218826
46,-0.3347618475190934,1.2175470308467946,1.843154819391746
47,0.9700354742478223,0.8982038651238551,1.1973412210728123
48,1.0795646140681705,-1.6101118576759659,-0.4466899866350822
49,-0.3610830968895561,-0.8918198645468067,-0.9207359091112559
50,-1.2580713983610996,-0.3643562581138632,-1.1895366474551459
51,-1.6828082579356698,-0.5331497034789703,0.9226127758839354
52,-2.0383481912029744,0.44460186612806396,1.46983659300931
53,-2.1946021339905326,0.8248136351356866,0.053734996486554665
54,0.15154833488237635,0.6801791537972941,0.2066062726689367
55,-0.5719349504017205,0.05496050187262669,0.15386562392764339
56,0.37860094397208965,2.2215461066489786,-0.23695609945770207
57,3.4742561742266065,-0.2734422204852144,-0.8610462086588445
58,0.4659401376164638,1.2191718413714925,-1.2388034357386675
59,0.826961992779042,1.0874758376499196,1.1508729416726804
60,1.0855993781362927,-0.10058652415799485,-1.0853500238201543
61,2.3004505511459366,-0.8671538617558288,-2.416452849570633
62,0.15636996009511417,-0.5752822833005241,0.23230972838782704
63,0.9697986866515282,-0.36206495801964733,0.34604731131237787
64,-1.6604729873382782,-1.5457185412135588,-0.05657088789298434
65,-2.2643280685612304,-0.5382003328795028,0.6374399369930759
66,-0.8492746647170433,-0.9487950898473936,-0.269353847800288
67,-0.8265116482930807,-0.4689088846985848,-0.37523734295092803
68,0.6360335324830542,-2.25479027590254,-1.9579724857078906
69,-1.3525352501451833,-0.7495321308321816,-2.802039185178697
70,-0.5811941509000191,-3.0366772890416414,-0.31873072319978246
71,-1.275018234380068,-0.3288877999130281,0.9282153309130522
72,-0.6587070482116291,0.6108462188929777,0.4125870220001499
73,1.5544249052707029,-0.12754253021546885,-0.25381606652724775
74,0.3550852794343767,-0.002742352299652945,0.7171607468272727
75,-1.8068135784457164,1.8019224103168998,1.0444044780436181
76,1.0348156605018408,0.5260752089669714,0.7004547452732715
77,0.04141796392677283,1.6995243964982938,0.4259262354770714
78,1.2016212687028505,0.6290084030806834,-0.6356818681060619
79,1.967949304569089,-0.26018154282757167,-0.4759231600998575
80,-0.24273429565368465,0.7931535400361822,-0.48675695873727337
81,2.4671952185103043,-1.3630937184543133,-0.639361211868328
82,0.01983693447942869,-1.0021806526032537,-1.3605722326460932
83,0.6238281921200033,-0.5619618370827564,0.001489581821837671
84,-1.0993695669850088,1.638604429408594,-0.9275777010031322
85,1.1462525570075923,0.7572474131621607,-0.8223397582939205
86,0.4914275985294495,0.9628852882678243,0.18760335883624718
87,1.8578483531985603,-0.17653775286052403,0.29489437503978844
88,0.7809408125290056,-1.422891539106134,1.2599434515621954
89,-3.4709209538930885,0.8231718666817892,2.1192436157232915
90,-1.3131430333335476,1.032158699937564,2.9589209661598517
91,-0.24838825449970178,0.7012883192854672,1.9881507565803371
92,0.30143158816574017,0.3271998322682309,0.9389632874560181
93,-0.3460800942078671,-0.26869915192850785,0.3961025517441309
94,-0.2641663365788634,-1.1075017020416422,-0.16856810836247088
95,-0.4375227438761102,0.9525026799221716,-0.9290139811609855
96,0.173157501481781,0.09051743172661608,1.1088185044483592
