t,Y,X,Z,vol_X,regime
0,0.0,0.0,0.0,0.0,0
1,-0.2188986809773735,0.6252495171939217,-0.37017261983521504,0.0,0
2,2.2833361939582284,-0.08230725715712223,-0.021678396178675133,0.4421181735414369,0
3,-0.7119719644574274,-0.8294362830945672,-0.6793909275049564,0.3869427245002407,0
4,0.8373977615660242,-2.2666607210358,-0.48989472855600125,0.5958624798653169,0
5,-4.444701583921615,-0.5912145391329156,-1.365971598835668,1.1090206249068055,1
6,-0.33775174562501986,-0.3968764632051481,-0.7305691905866781,0.9924835933217904,0
7,0.4892638001416388,-0.08474096875485021,-0.4218789441329936,0.9072838215428675,0
8,-0.35282607755517637,-0.7425178285911658,-0.6098827362071525,0.8530768637373356,0
9,-0.969537641790799,0.5268300635278397,0.02294578967891925,0.8037848249928331,0
10,0.8087366125668318,1.2107292100705271,-0.013233496131474454,0.8226440951683602,0
11,0.9037366382190126,0.7389715227454917,0.2183784398178919,0.9626476201779666,1
12,1.6193418820724692,0.05661717002852318,0.2763181760313792,0.9749018140564981,0
13,-0.39080436668512214,-0.24376853565176798,0.2985064244422295,0.978567189721655,0
14,0.541919808651661,-0.7720324643323225,-0.2757614334277406,0.9565028993388333,0
15,-0.8867578823840776,-0.5205811914835814,-0.2100737967953201,0.667069505233052,0
16,-0.28431466198330113,-0.798523734578449,-0.27654205343131416,0.6608089780729255,0
17,-0.4535737030967299,-0.15525054707792096,-0.517293309688456,0.697276388480692,0
18,0.9547069457156792,-0.35108276920354614,-0.6394819947752404,0.6978780104043911,0
19,0.44260216194427415,-0.47586046762717665,-0.4342316277561573,0.6662224793283447,0
20,-1.3288129675569251,0.6343068957263707,-0.4930474748354329,0.6481805240073618,0
21,-1.0747599120616775,-0.07283164342572918,-0.6061962150342505,0.530553473915246,0
22,-1.181424604049333,-1.155039207954992,-0.2442490046614677,0.4243031333512177,0
23,-2.483533290170659,-0.5179663012890259,-0.870633407364138,0.48880164257205894,1
24,0.7819286451412847,-1.926193589563054,-0.7435083580088913,0.4873091550096191,0
25,-2.7189074605465566,-1.1017746812302456,-1.412247914719173,0.6792323989060229,1
26,-0.6492942458668416,0.08173665095925686,-1.258955812933386,0.7024348858116327,1
27,-0.8195163336904502,0.1184639477588513,-0.7415691575281411,0.728358439071506,0
28,-0.2162565368298775,0.09046569299634728,-0.44463012040740835,0.7478038169284814,0
29,-0.3490453774256926,-1.4967888576645356,-0.32999606410347687,0.768781767567417,0
30,-3.7258094868577496,-0.5273779085532982,-0.9748586861816156,0.8397018363316061,1
31,0.9101668411373632,-0.016232373815648515,-0.4039739030557556,0.7336922052701881,0
32,-1.0420270997133136,-0.9941631741154903,-0.08388034087218495,0.7388458503190033,0
33,-1.6393893295049995,0.9691405552204413,-0.2888119045425556,0.7281825373563531,0
34,0.8497010439460744,-0.5888072034340529,0.6269607562522947,0.8877420769262905,0
35,0.9430212503618829,-2.211690195911377,-0.09426643496510859,0.7329548545124479,0
36,-2.414336362876333,-3.732293591034759,-0.8121715186843872,0.9201590357835501,1
37,-5.096351899988829,-2.5765342447924042,-2.072301531903804,1.3580564217343873,1
38,-2.5416285078516694,-1.3770721272406528,-2.332653494528199,1.4132400960023848,1
39,-2.902606109678517,-0.45119656816205533,-1.335640669905949,1.3496783400033279,1
